mutation	cancer	germline	control	case
mutationch_high	Lymphoid	germline	1676	70
mutationch_other	Lymphoid	germline	13199	211
mutationNone	Lymphoid	germline	58190	435
mutationch_high	Myeloid	germline	1673	73
mutationch_other	Myeloid	germline	13303	107
mutationNone	Myeloid	germline	58497	128
mutationch_high	Lymphoid	g_ATM	43	3
mutationch_other	Lymphoid	g_ATM	378	5
mutationNone	Lymphoid	g_ATM	1282	9
mutationch_high	Lymphoid	g_CHEK2	316	13
mutationch_other	Lymphoid	g_CHEK2	556	17
mutationNone	Lymphoid	g_CHEK2	2365	32
mutationch_high	Lymphoid	g_POLE	26	1
mutationch_other	Lymphoid	g_POLE	140	2
mutationNone	Lymphoid	g_POLE	576	3
mutationch_high	Lymphoid	g_POT1	25	4
mutationch_other	Lymphoid	g_POT1	29	1
mutationNone	Lymphoid	g_POT1	149	4
mutationch_high	Lymphoid	g_NTHL1	14	3
mutationch_other	Lymphoid	g_NTHL1	296	6
mutationNone	Lymphoid	g_NTHL1	1251	17
mutationch_high	Myeloid	g_ATM	44	2
mutationch_other	Myeloid	g_ATM	380	3
mutationNone	Myeloid	g_ATM	1287	4
mutationch_high	Myeloid	g_CHEK2	319	10
mutationch_other	Myeloid	g_CHEK2	566	7
mutationNone	Myeloid	g_CHEK2	2384	13
mutationch_high	Myeloid	g_TP53	6	1
mutationch_other	Myeloid	g_TP53	15	2
mutationNone	Myeloid	g_TP53	52	1
mutationch_high	Myeloid	g_DDX41	16	1
mutationch_other	Myeloid	g_DDX41	113	8
mutationNone	Myeloid	g_DDX41	522	15
mutationch_high	Myeloid	g_NTHL1	15	2
mutationch_other	Myeloid	g_NTHL1	300	2
mutationNone	Myeloid	g_NTHL1	1266	2
