Group	Subtype	ICD9	ICD10	ICDO3	n	freq
Myeloid	AML	2050	C92.0, C92.4, C92.5, C92.8, C93.0, C94.0, C94.4	9840/3, 9861/3, 9866/3, 9867/3, 9872/3, 9873/3, 9891/3, 9895/3, 9896/3, 9920/3, 9931/3	365	0.085%
Myeloid	CML	2051	C92.1	9863/3	88	0.021%
Myeloid	MDS	NA	D46.0, D46.1, D46.2, D46.3, D46.4, D46.5, D46.7, D46.9	9980/1, 9982/1, 9982/3, 9983/1, 9983/3, 9984/1, 9985/3, 9987/3, 9989/1, 9989/3	301	0.070%
Myeloid	MPN	2384	D45, D47.1, D47.3, D47.4	9741/1, 9741/3, 9875/3, 9950/1, 9950/3, 9960/1, 9960/3, 9961/1, 9961/3, 9962/1, 9962/3	522	0.122%
Myeloid	MDS/MPN	2061	C93.1, C94.6	9876/3, 9945/3, 9975/1, 9975/3	10	0.002%
Myeloid	Other Myeloid	2059	C92.7, C92.9, C96.2	9860/3	74	0.017%
Lymphoid	NHL	2000, 2001, 2008, 2020, 2021, 2022, 2024, 2028	C82.0, C82.1, C82.2, C82.3, C82.7, C82.9, C83.0, C83.1, C83.2, C83.3, C83.4, C83.5, C83.7, C83.8, C83.9, C84.0, C84.1, C84.2, C84.3, C84.4, C84.5, C84.8, C85.1, C85.7, C85.9, C86.0, C86.2, C86.4, C86.5, C86.6, C88.0, C88.4, C88.9, C91.4, C96.1, C96.3	9590/3, 9591/3, 9670/3, 9671/3, 9673/3, 9675/3, 9680/3, 9684/3, 9687/3, 9688/3, 9689/3, 9690/3, 9691/3, 9695/3, 9698/3, 9699/3, 9700/3, 9701/3, 9702/3, 9705/3, 9709/3, 9714/3, 9715/3, 9717/3, 9718/3, 9719/3, 9727/3, 9760/3, 9761/3, 9940/3	2243	0.523%
Lymphoid	HL	2014, 2015, 2016, 2017, 2019	C81.0, C81.1, C81.2, C81.3, C81.4, C81.7, C81.9	9650/3, 9651/3, 9652/3, 9653/3, 9659/3, 9661/3, 9663/3, 9664/3, 9665/3, 9667/3	136	0.032%
Lymphoid	ALL	2040	C91.0	NA	33	0.008%
Lymphoid	CLL	2041	C91.1	9823/3	636	0.148%
Lymphoid	Other Lymphoid	2049	C91.3, C91.5, C91.9	9811/3, 9820/3, 9827/3, 9834/3, 9835/3, 9836/3, 9837/3, 9970/1	66	0.015%
Lymphoid	MM	2030	C90.0	9732/3	852	0.199%
Lymphoid	Other Plasma	2386	C90.1, C90.2, C90.3	9731/1, 9731/3, 9733/3, 9734/3	50	0.012%
Other Hematopoietic	Other Hematopoietic	207, 2081, 2089, 2387	C95.0, C95.1, C95.7, C95.9, C96.7, C96.9	9800/3, 9801/3	15	0.003%
